Manali,32.2454608,77.1872926,"Manali, Kullu, Himachal Pradesh, 175131, India", Kullu, Himachal Pradesh
Ranchi,23.14064535,85.3732723225793,"Ranchi, Jharkhand, India", Jharkhand, India
Panjim,15.4989923,73.8282141,"Panaji, North Goa, Goa, India", North Goa, Goa
Tezpur,26.6245082,92.7910207,"Tezpur, Darrang, Sonitpur, Assam, 784001, India", Darrang, Sonitpur
Sagar,23.8125616,78.7524830659611,"Sagar, Madhya Pradesh, India", Madhya Pradesh, India
Thane,19.1943294,72.9701779,"Thane, Greater Bombay, Maharashtra, India", Greater Bombay, Maharashtra
Bhopal,23.2606627,77.3940598,"Bhopal, Bhopāl, Bhopal, Madhya Pradesh, 462001, India", Bhopāl, Bhopal
Ambala,30.38342495,77.0922321191753,"Ambala, Haryana, India", Haryana, India
Mandi,31.6451913,76.9952947429661,"Mandi, Himachal Pradesh, India", Himachal Pradesh, India
New,51.4858951,-0.0508881652188826,"Millwall, Stockholm Road, Telegraph Hill, New Cross Gate, London Borough of Lewisham, London, Greater London, England, SE14, United Kingdom", Stockholm Road, Telegraph Hill
Pilani,28.3622661,75.6042342,"Pilani, Jhunjhunūn, Jhunjhunun, Rajasthan, India", Jhunjhunūn, Jhunjhunun
Pali,25.61489375,73.4151300573955,"Pali, Rajasthan, India", Rajasthan, India
Thrissur,10.5251898,76.2159825,"Thrissur, Kerala, India", Kerala, India
Mohali,30.7287676,76.7138075,"Mohali, Rūpnagar, Rupnagar, Punjab, India", Rūpnagar, Rupnagar
Raigarh,22.06241275,83.4011194147103,"Raigarh, Chhattisgarh, India", Chhattisgarh, India
